!
!  N YYYY MM DD  D-Ura(")  D-Nep(")  
!
 337 2010  4 16  3.322055  2.221538
 338 2010  4 17  3.323329  2.222595
 339 2010  4 18  3.324645  2.223666
 340 2010  4 19  3.325997  2.224749
 341 2010  4 20  3.327387  2.225842
 342 2010  4 21  3.328816  2.226943
 343 2010  4 22  3.330284  2.228057
 344 2010  4 23  3.331788  2.229181
 345 2010  4 24  3.333329  2.230314
 346 2010  4 25  3.334907  2.231455
 347 2010  4 26  3.336521  2.232607
 348 2010  4 27  3.338171  2.233768
 349 2010  4 28  3.339857  2.234938
 350 2010  4 29  3.341579  2.236113
 351 2010  4 30  3.343336  2.237299
 352 2010  5  1  3.345125  2.238493
 353 2010  5  2  3.346951  2.239694
 354 2010  5  3  3.348812  2.240902
 355 2010  5  4  3.350703  2.242114
 356 2010  5  5  3.352630  2.243335
 357 2010  5  6  3.354587  2.244562
 358 2010  5  7  3.356580  2.245795
 359 2010  5  8  3.358602  2.247033
 360 2010  5  9  3.360658  2.248277
 361 2010  5 10  3.362743  2.249523
 362 2010  5 11  3.364858  2.250775
 363 2010  5 12  3.367004  2.252032
 364 2010  5 13  3.369180  2.253293
 365 2010  5 14  3.371386  2.254558
 366 2010  5 15  3.373620  2.255825
 367 2010  5 16  3.375883  2.257095
 368 2010  5 17  3.378174  2.258365
 369 2010  5 18  3.380493  2.259640
 370 2010  5 19  3.382838  2.260916
 371 2010  5 20  3.385208  2.262195
 372 2010  5 21  3.387606  2.263474
 373 2010  5 22  3.390028  2.264754
 374 2010  5 23  3.392477  2.266034
 375 2010  5 24  3.394948  2.267314
 376 2010  5 25  3.397443  2.268594
 377 2010  5 26  3.399964  2.269873
 378 2010  5 27  3.402505  2.271152
 379 2010  5 28  3.405069  2.272426
 380 2010  5 29  3.407654  2.273701
 381 2010  5 30  3.410261  2.274974
 382 2010  5 31  3.412888  2.276244
 383 2010  6  1  3.415535  2.277512
 384 2010  6  2  3.418199  2.278777
 385 2010  6  3  3.420885  2.280038
 386 2010  6  4  3.423586  2.281295
 387 2010  6  5  3.426307  2.282548
 388 2010  6  6  3.429043  2.283796
 389 2010  6  7  3.431798  2.285039
 390 2010  6  8  3.434565  2.286277
 391 2010  6  9  3.437348  2.287509
 392 2010  6 10  3.440145  2.288735
 393 2010  6 11  3.442956  2.289955
 394 2010  6 12  3.445779  2.291167
 395 2010  6 13  3.448615  2.292373
 396 2010  6 14  3.451463  2.293571
 397 2010  6 15  3.454322  2.294761
 398 2010  6 16  3.457188  2.295943
 399 2010  6 17  3.460066  2.297116
 400 2010  6 18  3.462950  2.298280
 401 2010  6 19  3.465846  2.299435
 402 2010  6 20  3.468745  2.300583
 403 2010  6 21  3.471651  2.301718
 404 2010  6 22  3.474563  2.302843
 405 2010  6 23  3.477480  2.303956
 406 2010  6 24  3.480401  2.305059
 407 2010  6 25  3.483326  2.306150
 408 2010  6 26  3.486253  2.307229
 409 2010  6 27  3.489182  2.308297
 410 2010  6 28  3.492110  2.309351
 411 2010  6 29  3.495040  2.310393
 412 2010  6 30  3.497967  2.311421
 413 2010  7  1  3.500896  2.312439
 414 2010  7  2  3.503820  2.313440
 415 2010  7  3  3.506740  2.314427
 416 2010  7  4  3.509660  2.315399
 417 2010  7  5  3.512573  2.316356
 418 2010  7  6  3.515479  2.317298
 419 2010  7  7  3.518376  2.318225
 420 2010  7  8  3.521269  2.319136
 421 2010  7  9  3.524154  2.320033
 422 2010  7 10  3.527029  2.320911
 423 2010  7 11  3.529892  2.321772
 424 2010  7 12  3.532747  2.322616
 425 2010  7 13  3.535588  2.323443
 426 2010  7 14  3.538415  2.324252
 427 2010  7 15  3.541230  2.325046
 428 2010  7 16  3.544033  2.325819
 429 2010  7 17  3.546818  2.326573
 430 2010  7 18  3.549586  2.327309
 431 2010  7 19  3.552338  2.328025
 432 2010  7 20  3.555068  2.328722
 433 2010  7 21  3.557783  2.329402
 434 2010  7 22  3.560478  2.330059
 435 2010  7 23  3.563149  2.330697
 436 2010  7 24  3.565802  2.331314
 437 2010  7 25  3.568428  2.331910
 438 2010  7 26  3.571035  2.332488
 439 2010  7 27  3.573614  2.333043
 440 2010  7 28  3.576168  2.333576
 441 2010  7 29  3.578695  2.334087
 442 2010  7 30  3.581196  2.334577
 443 2010  7 31  3.583668  2.335048
 444 2010  8  1  3.586111  2.335493
 445 2010  8  2  3.588524  2.335917
 446 2010  8  3  3.590907  2.336318
 447 2010  8  4  3.593255  2.336696
 448 2010  8  5  3.595573  2.337054
 449 2010  8  6  3.597854  2.337386
 450 2010  8  7  3.600105  2.337696
 451 2010  8  8  3.602316  2.337981
 452 2010  8  9  3.604492  2.338247
 453 2010  8 10  3.606633  2.338486
 454 2010  8 11  3.608734  2.338701
 455 2010  8 12  3.610795  2.338892
 456 2010  8 13  3.612817  2.339060
 457 2010  8 14  3.614798  2.339206
 458 2010  8 15  3.616738  2.339325
 459 2010  8 16  3.618636  2.339420
 460 2010  8 17  3.620490  2.339491
 461 2010  8 18  3.622298  2.339538
 462 2010  8 19  3.624063  2.339563
 463 2010  8 20  3.625784  2.339561
 464 2010  8 21  3.627455  2.339534
 465 2010  8 22  3.629082  2.339483
 466 2010  8 23  3.630662  2.339410
 467 2010  8 24  3.632189  2.339311
 468 2010  8 25  3.633668  2.339186
 469 2010  8 26  3.635100  2.339037
 470 2010  8 27  3.636478  2.338864
 471 2010  8 28  3.637805  2.338670
 472 2010  8 29  3.639084  2.338448
 473 2010  8 30  3.640307  2.338202
 474 2010  8 31  3.641477  2.337932
 475 2010  9  1  3.642594  2.337638
 476 2010  9  2  3.643656  2.337323
 477 2010  9  3  3.644664  2.336981
 478 2010  9  4  3.645617  2.336616
 479 2010  9  5  3.646515  2.336227
 480 2010  9  6  3.647357  2.335815
 481 2010  9  7  3.648143  2.335379
 482 2010  9  8  3.648872  2.334923
 483 2010  9  9  3.649544  2.334442
 484 2010  9 10  3.650159  2.333938
 485 2010  9 11  3.650716  2.333411
 486 2010  9 12  3.651213  2.332862
 487 2010  9 13  3.651655  2.332291
 488 2010  9 14  3.652038  2.331701
 489 2010  9 15  3.652363  2.331087
 490 2010  9 16  3.652630  2.330451
 491 2010  9 17  3.652835  2.329794
 492 2010  9 18  3.652984  2.329116
 493 2010  9 19  3.653075  2.328417
 494 2010  9 20  3.653106  2.327701
 495 2010  9 21  3.653076  2.326962
 496 2010  9 22  3.652990  2.326203
 497 2010  9 23  3.652845  2.325424
 498 2010  9 24  3.652642  2.324627
 499 2010  9 25  3.652380  2.323810
 500 2010  9 26  3.652056  2.322975
 501 2010  9 27  3.651677  2.322124
 502 2010  9 28  3.651240  2.321252
 503 2010  9 29  3.650745  2.320363
 504 2010  9 30  3.650192  2.319456
 505 2010 10  1  3.649581  2.318532
 506 2010 10  2  3.648910  2.317591
 507 2010 10  3  3.648185  2.316634
 508 2010 10  4  3.647403  2.315660
 509 2010 10  5  3.646565  2.314671
 510 2010 10  6  3.645671  2.313670
 511 2010 10  7  3.644721  2.312651
 512 2010 10  8  3.643716  2.311617
 513 2010 10  9  3.642655  2.310568
 514 2010 10 10  3.641540  2.309506
 515 2010 10 11  3.640372  2.308430
 516 2010 10 12  3.639152  2.307341
 517 2010 10 13  3.637877  2.306239
 518 2010 10 14  3.636549  2.305124
 519 2010 10 15  3.635169  2.303998
 520 2010 10 16  3.633740  2.302859
 521 2010 10 17  3.632258  2.301710
 522 2010 10 18  3.630726  2.300552
 523 2010 10 19  3.629147  2.299381
 524 2010 10 20  3.627516  2.298200
 525 2010 10 21  3.625839  2.297009
 526 2010 10 22  3.624114  2.295808
 527 2010 10 23  3.622340  2.294598
 528 2010 10 24  3.620523  2.293380
 529 2010 10 25  3.618659  2.292154
 530 2010 10 26  3.616751  2.290920
 531 2010 10 27  3.614796  2.289678
 532 2010 10 28  3.612801  2.288430
 533 2010 10 29  3.610763  2.287174
 534 2010 10 30  3.608683  2.285913
 535 2010 10 31  3.606564  2.284645
 536 2010 11  1  3.604403  2.283373
 537 2010 11  2  3.602202  2.282095
 538 2010 11  3  3.599963  2.280813
 539 2010 11  4  3.597689  2.279526
 540 2010 11  5  3.595376  2.278235
 541 2010 11  6  3.593029  2.276942
 542 2010 11  7  3.590645  2.275645
 543 2010 11  8  3.588228  2.274345
 544 2010 11  9  3.585779  2.273043
 545 2010 11 10  3.583297  2.271740
 546 2010 11 11  3.580782  2.270434
 547 2010 11 12  3.578238  2.269128
 548 2010 11 13  3.575665  2.267822
 549 2010 11 14  3.573065  2.266514
 550 2010 11 15  3.570436  2.265207
 551 2010 11 16  3.567779  2.263901
 552 2010 11 17  3.565097  2.262595
 553 2010 11 18  3.562392  2.261291
 554 2010 11 19  3.559661  2.259988
 555 2010 11 20  3.556910  2.258688
 556 2010 11 21  3.554136  2.257389
 557 2010 11 22  3.551339  2.256094
 558 2010 11 23  3.548524  2.254801
 559 2010 11 24  3.545690  2.253512
 560 2010 11 25  3.542839  2.252228
 561 2010 11 26  3.539969  2.250947
 562 2010 11 27  3.537086  2.249668
 563 2010 11 28  3.534186  2.248397
 564 2010 11 29  3.531271  2.247131
 565 2010 11 30  3.528345  2.245871
 566 2010 12  1  3.525405  2.244617
 567 2010 12  2  3.522456  2.243369
 568 2010 12  3  3.519496  2.242128
 569 2010 12  4  3.516524  2.240894
 570 2010 12  5  3.513546  2.239668
 571 2010 12  6  3.510561  2.238449
 572 2010 12  7  3.507569  2.237238
 573 2010 12  8  3.504574  2.236036
 574 2010 12  9  3.501572  2.234839
 575 2010 12 10  3.498566  2.233655
 576 2010 12 11  3.495560  2.232480
 577 2010 12 12  3.492549  2.231314
 578 2010 12 13  3.489540  2.230158
 579 2010 12 14  3.486528  2.229013
 580 2010 12 15  3.483520  2.227878
 581 2010 12 16  3.480513  2.226755
 582 2010 12 17  3.477509  2.225639
 583 2010 12 18  3.474508  2.224538
 584 2010 12 19  3.471512  2.223449
 585 2010 12 20  3.468521  2.222371
 586 2010 12 21  3.465539  2.221306
 587 2010 12 22  3.462561  2.220254
 588 2010 12 23  3.459594  2.219214
 589 2010 12 24  3.456633  2.218185
 590 2010 12 25  3.453684  2.217172
 591 2010 12 26  3.450745  2.216172
 592 2010 12 27  3.447815  2.215186
 593 2010 12 28  3.444900  2.214215
 594 2010 12 29  3.441997  2.213258
 595 2010 12 30  3.439111  2.212313
 596 2010 12 31  3.436236  2.211385
 597 2011  1  1  3.433377  2.210473
 598 2011  1  2  3.430534  2.209576
 599 2011  1  3  3.427709  2.208694
 600 2011  1  4  3.424900  2.207825
 601 2011  1  5  3.422111  2.206976
 602 2011  1  6  3.419342  2.206142
 603 2011  1  7  3.416589  2.205325
 604 2011  1  8  3.413859  2.204521
 605 2011  1  9  3.411151  2.203737
 606 2011  1 10  3.408464  2.202971
 607 2011  1 11  3.405799  2.202221
 608 2011  1 12  3.403158  2.201489
 609 2011  1 13  3.400542  2.200771
 610 2011  1 14  3.397949  2.200074
 611 2011  1 15  3.395381  2.199395
 612 2011  1 16  3.392841  2.198734
 613 2011  1 17  3.390325  2.198088
 614 2011  1 18  3.387838  2.197464
 615 2011  1 19  3.385376  2.196858
 616 2011  1 20  3.382945  2.196271
 617 2011  1 21  3.380542  2.195699
 618 2011  1 22  3.378169  2.195150
 619 2011  1 23  3.375825  2.194620
 620 2011  1 24  3.373512  2.194106
 621 2011  1 25  3.371230  2.193614
 622 2011  1 26  3.368979  2.193142
 623 2011  1 27  3.366761  2.192689
 624 2011  1 28  3.364577  2.192253
 625 2011  1 29  3.362424  2.191840
 626 2011  1 30  3.360304  2.191447
 627 2011  1 31  3.358221  2.191071
 628 2011  2  1  3.356170  2.190718
 629 2011  2  2  3.354157  2.190385
 630 2011  2  3  3.352179  2.190073
 631 2011  2  4  3.350234  2.189778
 632 2011  2  5  3.348328  2.189507
 633 2011  2  6  3.346459  2.189255
 634 2011  2  7  3.344627  2.189022
 635 2011  2  8  3.342832  2.188812
 636 2011  2  9  3.341076  2.188623
 637 2011  2 10  3.339358  2.188452
 638 2011  2 11  3.337679  2.188305
 639 2011  2 12  3.336039  2.188178
 640 2011  2 13  3.334439  2.188070
 641 2011  2 14  3.332878  2.187985
 642 2011  2 15  3.331358  2.187921
 643 2011  2 16  3.329881  2.187876
 644 2011  2 17  3.328442  2.187854
 645 2011  2 18  3.327044  2.187850
 646 2011  2 19  3.325691  2.187871
 647 2011  2 20  3.324377  2.187912
 648 2011  2 21  3.323107  2.187971
 649 2011  2 22  3.321877  2.188054
 650 2011  2 23  3.320692  2.188158
 651 2011  2 24  3.319550  2.188280
 652 2011  2 25  3.318448  2.188425
 653 2011  2 26  3.317392  2.188591
 654 2011  2 27  3.316377  2.188776
 655 2011  2 28  3.315408  2.188983
 656 2011  3  1  3.314483  2.189208
 657 2011  3  2  3.313601  2.189457
 658 2011  3  3  3.312760  2.189726
 659 2011  3  4  3.311967  2.190012
 660 2011  3  5  3.311217  2.190322
 661 2011  3  6  3.310512  2.190649
 662 2011  3  7  3.309851  2.190998
 663 2011  3  8  3.309234  2.191367
 664 2011  3  9  3.308662  2.191754
 665 2011  3 10  3.308131  2.192163
 666 2011  3 11  3.307648  2.192591
 667 2011  3 12  3.307209  2.193036
 668 2011  3 13  3.306815  2.193503
 669 2011  3 14  3.306465  2.193986
 670 2011  3 15  3.306160  2.194491
 671 2011  3 16  3.305899  2.195015
 672 2011  3 17  3.305683  2.195555
 673 2011  3 18  3.305511  2.196116
 674 2011  3 19  3.305384  2.196692
 675 2011  3 20  3.305300  2.197290
 676 2011  3 21  3.305262  2.197905
 677 2011  3 22  3.305267  2.198536
 678 2011  3 23  3.305316  2.199187
 679 2011  3 24  3.305410  2.199853
 680 2011  3 25  3.305547  2.200539
 681 2011  3 26  3.305729  2.201242
 682 2011  3 27  3.305954  2.201959
 683 2011  3 28  3.306223  2.202696
 684 2011  3 29  3.306535  2.203450
 685 2011  3 30  3.306888  2.204217
 686 2011  3 31  3.307287  2.205003
 687 2011  4  1  3.307729  2.205802
 688 2011  4  2  3.308215  2.206620
 689 2011  4  3  3.308743  2.207453
 690 2011  4  4  3.309314  2.208299
 691 2011  4  5  3.309927  2.209163
 692 2011  4  6  3.310580  2.210041
 693 2011  4  7  3.311279  2.210932
